Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,965.866840464665,881.919488130062,668.706017459877,449.727894936295,334.973590276074,404.29481849612,531.115366543271,521.70291489053,429.188126933192,392.725539027496,563.733795571487,533.586202412447,882.147847234303,992.698979254665,1266.21086410236,1916.46842218625,2617.05196022633,3141.0459797605,4103.0669003635,3136.64546955947,3597.34293216332,4615.91059831778,5086.02740086376,5057.74787833163,5005.9997412707,3213.90261080059,1807.95294072643,2437.25971190821,2538.59139143371,2189.85571407618,1449.92286669308
Antigua and Barbuda,ATG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,..,..,..,..,..,..,..,..,..,..,69.32639,..,..,..,..,..,..,..,..,93.3748,..,..,..,..,84.86631,87.63587,..,86.64413,89.72818,..,..
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,63066,63387,64404,65587,66843,68189,69612,71053,72412,73666,74912,76069,77032,77884,78719,79611,80604,81704,82912,84173,85320,86332,87260,88064,88765,89409,89969,90468,90926,91364,91846
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,7590.75442423046,7956.47430919648,8153.73786307269,8624.62016806628,9351.48753768505,9034.47552907143,9756.08717951992,10336.2591617838,10906.8785406961,11342.3349230913,12027.4949768222,11539.1825063308,11658.6949915956,12173.2319860305,13037.8895772257,14368.5708796058,16173.8136329968,18204.5124043068,18786.6743142216,16472.2478528568,15217.3950790922,14911.7275084471,15639.8078114787,15051.5113587425,15532.1062063584,16077.6340769406,16556.8551801588,16965.7288273816,18273.4270684912,18896.3721832248,15369.6082250401
Argentina,ARG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,43.085,44.631,46.086,47.569,48.693,48.506,49.466,50.736,51.335,50.776,50.552,49.745,47.873,48.903,49.963,49.098,49.738,48.902,48.064,48.788,47.689,47.947,48.055,47.641,47.418,47.498,47.582,47.666,49.146,50,46.486
Argentina,ARG,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,..,..,..,..,..,..,..,..,76.5898,78.473,80.36122,80.92482,80.78871,80.82155,81.42915,81.26323,81.61114,81.83627,83.17861,84.88917,85.80616,87.46214,89.35661,90.11215,90.33155,90.89313,92.18343,93.0542,..,..,..
Argentina,ARG,"Population, total",SP.POP.TOTL,32755901,33230294,33693527,34152717,34613491,35070020,35513793,35947791,36372860,36794682,37213984,37624825,38029349,38424282,38815916,39216789,39622115,40016763,40424148,40854831,41288694,41730660,42161721,42582455,43024071,43477012,43900313,44288894,44654882,44973465,45191965
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,4315.33403111588,5709.24784079504,6789.99611136495,6931.85596375876,7437.56242327594,7357.6162773788,7663.21271287469,8146.78710021431,8218.99212764682,7705.54288252851,7637.01489203628,7141.47507662826,2569.69963519124,3320.47775133903,4242.02099089422,5067.65342293276,5869.38028970204,7185.25155147027,8944.1102657357,8150.23527028221,10260.1313108254,12704.2831819684,12949.717486654,12963.675773326,12233.1444119186,13679.6264980954,12699.9623137756,14532.5009308511,11752.7998922979,9955.97478680428,8535.59938004389
Armenia,ARM,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,58.887,58.814,58.567,58.127,57.598,57.061,56.579,56.14,55.831,55.688,55.615,55.427,55.106,54.804,54.551,54.364,54.279,54.34,54.378,55.183,55.414,55.516,55.535,55.634,55.751,55.872,55.962,56.038,56.015,57.831,57.865
Armenia,ARM,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91.98581,85.27768,91.67152,92.31576,88.05112,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Population, total",SP.POP.TOTL,3552128,3613977,3571861,3453332,3364610,3307581,3278735,3246289,3208401,3167286,3221100,3211800,3199800,3182500,3164900,3146400,3127100,3107400,3087100,3066000,3044800,3027900,3024100,3022000,3013800,3004600,2992300,2979400,2969000,2962500,2961500
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,635.355327502517,572.740260900977,356.350780006933,347.870644720878,390.879964297655,443.924860857976,487.068624404558,505.035887057966,590.239947333459,582.669886150895,593.450581742282,659.588988535629,742.651118319819,882.030167695474,1130.08791444158,1557.48458908655,2041.65267068997,2962.70234594569,3777.66859313767,2820.5926553347,3041.34450723339,3349.55309771906,3511.56399687426,3680.16692158886,3852.11800610384,3512.39350276709,3524.42476874707,3869.05373867752,4196.00562301769,4597.22887399548,4268.68093304583
Aruba,ABW,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,..,..,..,..,..,..,..,..,..,81.02498,78.86792,74.22901,79.27661,74.78535,73.43448,75.6987,..,81.79688,77.85939,80.97252,..,80.68243,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Population, total",SP.POP.TOTL,62753,65896,69005,73685,77595,79805,83021,86301,88451,89659,90588,91439,92074,93128,95138,97635,99405,100150,100917,101604,101838,102591,104110,105675,106807,107906,108727,108735,108908,109203,108587
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,12187.5363611898,13233.9905169683,13892.6051427736,14700.9598081521,16055.2877874337,16548.7173868987,16620.9545555513,17750.0095644198,18828.0870594071,19216.1972354472,20681.0230269625,20740.1325828172,21307.2482505267,21949.4859960868,23700.6319899197,24171.8371325422,24845.65848362,26736.3089444046,28171.9094008501,25134.7712303589,24093.1401510626,25712.3843015186,25119.6655449838,25813.5767274227,26129.8390617693,27458.2253310273,27441.5296617282,28440.051963759,30082.1276448186,31096.2050738676,22855.9323200761
Australia,AUS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,52.307,52.038,51.996,51.77,52.67,53.675,53.859,53.66,53.721,53.727,54.618,55.158,55.355,56.013,55.774,57.048,57.582,58.135,58.603,58.792,58.676,58.931,58.833,58.739,58.704,59.151,59.381,59.877,60.523,60.959,60.205
Australia,AUS,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,..,..,..,88.33589,88.38325,88.29162,89.69534,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93.62816,93.15336,92.69355,..,..,..
Australia,AUS,"Population, total",SP.POP.TOTL,17065128,17284036,17478635,17634808,17805468,18004882,18224767,18423037,18607584,18812264,19028802,19274701,19495210,19720737,19932722,20176844,20450966,20827622,21249199,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,18249.3014538169,18859.9074576986,18624.1877335866,17699.8764915704,18129.6353064456,20448.1219685874,22021.7839065228,23646.6230457327,21479.1142020092,20712.6697805564,21870.4159669594,19695.7297379144,20301.8431713256,23718.1338501868,30836.7306824685,34479.7679298388,36595.7071548423,41051.6120652288,49701.2817843335,42816.5674002829,52144.6654705468,62605.600458306,68072.8732340801,68190.7010035651,62544.0873773726,56739.0265346593,49888.0410842736,53901.7145392154,57196.4220783778,54972.7017885437,51791.540179984
Austria,AUT,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,43.096,43.647,45.051,45.647,48.112,48.714,48.266,48.253,48.819,48.998,48.991,48.861,50.127,50.232,50.059,50.866,51.541,52.379,52.872,53.539,53.648,53.942,54.446,54.711,54.763,54.827,55.349,55.352,55.426,55.514,55.224
Austria,AUT,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,..,..,..,..,..,..,..,..,..,88.02071,88.10903,..,87.81913,87.8824,87.84762,88.69619,89.17722,87.86998,87.88928,87.64705,86.85324,86.67158,86.23705,86.42403,86.70508,86.99795,87.53142,87.11869,..,..,..
Austria,AUT,"Population, total",SP.POP.TOTL,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,21596.068219998,22323.1312492943,24782.7118767063,23987.2037240657,25546.2460525087,30207.0674314652,29645.9451251491,26571.7523626508,27212.4642905708,27078.7081612201,24487.2974685956,24430.495982841,26334.862215032,32110.1159661425,36614.2506533707,38157.37022862,40382.2078298575,46622.9622913635,51581.3982361071,47857.4446635266,46611.1393420232,51116.8953522042,48250.4059142637,50305.3545774973,51314.9722616322,43915.228020857,45061.4993920192,47163.7425775142,51194.0749841299,49885.9947355204,48716.4098900349
Azerbaijan,AZE,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,66.407,66.523,68.152,70.265,72.454,73.967,74.097,73.87,73.325,73,72.205,70.283,68.823,66.626,64.222,62.978,61.162,56.405,56.428,58.092,59.793,59.434,59.237,59.364,60.244,61.096,62.043,62.213,62.63,62.427,64.382
Azerbaijan,AZE,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88.15416,..,..
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,7175200,7271300,7382050,7494800,7596550,7684850,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,1238.27189274842,734.944232805688,60.2351205405972,209.530954548425,157.063549947072,314.55801908334,409.185543774103,505.516204188336,561.906807871869,573.893528734031,655.097249579917,703.670998584686,763.108895463487,883.692580745256,1045.0136328106,1578.36733030667,2472.95725732287,3851.33015175141,5574.46810432575,4950.39949009423,5843.5337683582,7189.81869211976,7495.86527658099,7875.34536661549,7890.84028062087,5500.50364628486,3880.6852276838,4147.1981423222,4739.7943123408,4805.75371765917,4229.91064904503
"Bahamas, The",BHS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,64.326,64.788,65.238,65.668,66.07,66.344,66.606,66.589,66.896,67.406,67.625,67.708,67.803,67.528,67.452,67.597,67.661,67.623,67.235,66.664,66.626,66.533,66.679,66.317,66.391,66.407,66.291,66.502,66.774,66.721,62.759
"Bahamas, The",BHS,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,..,..,90.55332,90.62214,..,..,..,..,..,70.34891,..,..,..,..,79.85233,82.22038,83.4111,87.11506,85.26774,82.93533,82.15272,76.3328,78.52802,71.12629,74.0697,59.99897,68.04682,66.43519,65.04684,..,..
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,275945,280731,285927,291339,296509,301461,306268,310904,315368,319614,323835,327836,331614,335618,339782,343894,348375,353334,358120,362810,367478,371729,375469,378953,382298,385346,388055,390485,392717,394675,395863
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,11473.3008389353,11082.3528573617,10873.4047501635,10613.0658785813,10991.2346674131,11374.6056703852,11783.797197226,20367.5732702056,21667.448821694,24041.0933188158,24940.0775086078,25371.9237667614,26781.6195938652,26429.1247787663,26650.2934234303,28602.4181869995,29184.7865087908,30051.8489587756,29392.3824416397,27512.9130950084,27473.100430502,27090.8376801379,28552.0242683151,27642.7419759179,29137.2175632622,30719.405417469,30616.5363157284,31875.4881749619,32642.3353203452,33640.3369861278,26178.7537607708
Bahrain,BHR,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,29.278,29.122,29.831,30.469,31.096,31.728,32.386,33.087,33.839,34.632,35.474,36.273,36.91,37.536,38.199,38.917,39.711,40.59,41.556,42.602,43.59,42.579,42.806,42.952,43.095,43.369,43.548,43.492,43.306,42.821,41.511
Bahrain,BHR,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,..,..,..,..,93.44872,94.18347,..,89.40885,88.21678,87.69795,90.54731,92.21486,91.24346,91.32535,91.96687,93.00856,93.11401,..,88.59221,87.70018,87.10469,87.1022,85.45677,86.90818,89.06943,91.29455,93.8923,94.42112,93.78209,..,..
Bahrain,BHR,"Population, total",SP.POP.TOTL,514797,503052,516458,530225,544366,558879,573792,589115,604842,620989,637582,661316,710553,764517,823741,888822,960424,1039295,1103496,1178415,1228543,1195020,1208964,1253191,1314562,1370322,1423726,1501116,1503091,1483756,1472204
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,9342.53891401688,10434.1323962786,10460.1583222808,11151.871495742,11629.3595219612,11900.9317778335,12091.7802188235,12254.6662583128,11625.0343768343,12123.3534715368,14214.4836839343,13573.2339887597,13501.4708801425,14486.0269029822,15963.9493171617,17966.1657837625,19267.282615072,20908.4042548073,23299.4992780392,19465.3140745038,21819.3291098099,25032.7867743333,26438.6733230428,26989.7601148469,26451.7965647453,23734.0551143019,23800.001440631,24784.7693514607,26324.4066549559,27259.7438599327,24342.8444554718
Bangladesh,BGD,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,24.075,24.439,24.859,25.321,25.824,26.364,26.923,27.442,27.887,28.277,28.615,28.832,28.944,29.028,29.104,29.184,29.242,30.797,32.398,34.041,35.723,35.02,34.316,33.616,33.571,33.531,33.497,36.676,38.079,39.376,40.407
Bangladesh,BGD,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,..,..,..,..,..,..,..,..,40.60347,44.85033,47.09899,49.58639,51.17523,51.04549,45.94321,45.41747,45.90001,46.63704,..,48.25183,50.41391,50.83343,53.12643,56.53654,..,63.11644,68.92778,68.87605,72.27917,..,..
Bangladesh,BGD,"Population, total",SP.POP.TOTL,111633717,113787109,115952192,118132360,120343179,122600370,124862179,127198069,129622332,132108065,134544304,136805810,138933658,140970351,142902856,144715786,146405973,147989278,149474264,150873714,152201981,153591076,155070101,156532141,157964929,159383179,160811932,162186147,163523103,164913055,166298024
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,283.053737055234,272.064948495878,273.465072520272,280.757274450366,280.603031791216,309.458680823367,371.917937677345,379.284917709635,385.616881752796,388.095684268235,396.670730249751,394.65641001891,393.886422327628,426.74880754362,455.614016909798,480.08585075452,490.388026533289,537.955492792911,613.06204104124,679.211477428056,757.385280361508,837.336944695647,859.680536375497,958.262989798283,1094.46199702838,1224.38647668165,1649.28380858601,1811.08221668646,1965.24372731467,2129.79896954606,2248.85078828233
Barbados,BRB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,60.938,60.931,60.871,61.48,62.085,63.353,63.609,63.033,63.249,63.418,63.612,63.804,63.93,64.051,64.711,64.689,64.675,64.677,64.646,64.545,64.422,64.298,62.881,63.997,63.225,61.731,62.528,62.501,61.61,61.569,60.484
Barbados,BRB,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,73.66866,..,..,..,..,..,..,..,..,94.93646,91.27349,85.14533,87.19142,89.18286,95.12096,92.0335,91.75268,93.75514,88.88199,84.89659,85.14956,91.58659,..,..,99.96777,..,..,..,96.81848,..,..
Barbados,BRB,"Population, total",SP.POP.TOTL,258582,259373,260267,261027,261620,262039,262284,262392,262436,262517,262063,262425,264148,265776,267298,268706,270002,271288,272714,274123,275243,276139,276938,277665,278348,278990,279598,280171,280711,281207,281698
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,7781.40573306125,7790.26229439159,7519.20143544898,7904.70762426389,8223.16681181719,8460.47380869104,9011.77884838722,9521.57127377123,10734.3637242884,11244.3087668392,11674.6736471764,11639.5160522054,11760.4524736133,12075.9587020649,12886.3665272467,14214.4202213572,15619.6005955511,17235.4396434785,17565.6929970592,16294.9099491834,18860.3833703309,19345.9953139542,19034.0708028512,19308.0091116993,19277.9423599235,18954.2913724506,19065.8069800213,19692.7606711615,20055.915870771,20583.7265786414,18347.1109131055
Belarus,BLR,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,53.199,52.978,52.827,52.673,52.674,52.76,52.585,52.364,52.444,52.723,53.471,54.119,54.575,54.928,55.173,55.409,55.711,56.04,56.47,56.943,57.387,57.81,58.139,58.378,58.541,58.644,58.727,58.566,58.055,58.25,57.856
Belarus,BLR,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95.05603,95.43727,96.57888,98.00224,98.35988,99.13601,..,96.92706,96.18075,..,..
Belarus,BLR,"Population, total",SP.POP.TOTL,10189348,10194050,10216470,10239050,10226955,10193831,10159569,10117433,10071963,10026738,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9504583,9483836,9461643,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,1706.64091882343,1805.45592531527,1658.08641281239,1589.51011343649,1460.00791360458,1370.69991385664,1452.5071047646,1396.6571872706,1511.25979105507,1210.5874393672,1276.28038121269,1244.37318523431,1479.38066337175,1819.52653114699,2378.33700470129,3126.07176665248,3848.22350300163,4735.48107556066,6376.17569162063,5352.48809190697,6034.67885177216,6527.6593428786,6953.21591683101,7998.0802045456,8341.31809294883,5967.05595058777,5039.77560949445,5785.54491935194,6360.037502312,6837.77339645635,6542.85579976768
Belgium,BEL,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,36.46,37.914,38.759,39.461,40.04,40.424,40.526,40.971,41.54,43.147,43.616,41.788,42.506,42.881,44.311,45.687,45.818,46.589,46.928,46.98,47.774,47.103,47.155,47.805,48.125,48.045,47.81,47.974,48.77,49.097,48.66
Belgium,BEL,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,..,..,..,96.34577,98.48619,99.52981,98.47056,..,..,94.74303,94.3426,95.29059,95.60755,96.87225,98.10025,98.22814,98.36325,96.83959,95.14791,93.96336,93.18099,93.01853,93.50603,94.09263,94.22357,94.08609,94.33716,95.08123,..,..,..
Belgium,BEL,"Population, total",SP.POP.TOTL,9967379,10004486,10045158,10084475,10115603,10136811,10156637,10181245,10203008,10226419,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604
